,baseMean,log2FoldChange,pvalue,padj
FBgn0267431,31.602184768338677,-0.4038856970684346,0.2662829950216854,0.8625172805091849
FBgn0058182,6.668550792419096,0.5248078501882758,0.12715917735586565,0.8625172805091849
FBgn0267430,7.983216321185435,1.6691892552074155,0.1565831500392269,0.8625172805091849
FBgn0086917,4.965613330369614,-1.166827541139873,0.11796831605443218,0.8625172805091849
FBgn0010247,8203.974736913504,-0.06332885715270607,0.7859893536970439,0.9290697087149763
FBgn0086378,7064.486539024366,0.02123448105875939,0.7838670668650773,0.9284740713061815
FBgn0263977,15555.191430983177,0.0715837797491848,0.449752965114129,0.864233999771503
FBgn0069923,4033.5281368902197,0.04296919125976467,0.9017140147944913,0.969323658782541
FBgn0039955,14645.663611743621,0.1362876070224057,0.5405174073908435,0.8687861936371253
FBgn0259821,11.863082378307825,-1.257218560063855,0.16676391628814588,0.8625172805091849
FBgn0027341,25.24329883325491,-0.8705051762388161,0.4919652707733151,0.8659069196660111
FBgn0037213,343.8928655640562,-0.8644557194943244,0.3811257456415919,0.8625172805091849
FBgn0053294,53.0474441422235,-0.168750827358123,0.8909290990235674,0.9658288930933069
FBgn0000500,6.621132772442859,-0.1194619265008318,0.9248824412912608,0.9763370981614533
FBgn0037215,1392.6134131358601,0.22036970104061038,0.534162171294165,0.8677822005934338
FBgn0037218,1860.7193393424432,0.15691727475625733,0.47465925696500416,0.8653940355141817
FBgn0261436,444.17252219716744,0.23284708137867396,0.3776492695272618,0.8625172805091849
FBgn0037220,7192.996300599939,-0.037063733613742274,0.8268571023356431,0.943717912412182
FBgn0015331,1694.7325735225504,-0.3374437504964236,0.1892698747058286,0.8625172805091849
FBgn0010225,85.1597644955829,-0.3691618154477942,0.24276951221374016,0.8625172805091849
FBgn0267988,25.741272278096456,-0.6656339057981826,0.021405733559872204,0.8625172805091849
FBgn0037223,6.65436441057138,0.9317746996755902,0.33242303698585207,0.8625172805091849
FBgn0037224,4.247881185284242,-1.4410373239770262,0.3509743448312256,0.8625172805091849
FBgn0037225,5.585617823493446,0.43564088271654816,0.6217015655758062,0.8853558717562879
FBgn0041621,8.937083498721762,-1.0255106454797596,0.4918551463280685,0.8659069196660111
FBgn0037229,3.8055373773134993,1.160026602493688,0.2947412378044607,0.8625172805091849
FBgn0041605,23.8269160253096,-0.6189429005113015,0.5106398621467364,0.8676867905448156
FBgn0037232,857.1683709179138,-0.45132990162053793,0.12360158545343015,0.8625172805091849
FBgn0261086,8.01408850566875,-2.0911961432342556,0.038178833718965674,0.8625172805091849
FBgn0037234,2338.7020545736145,0.3974365323321107,0.28525130429959333,0.8625172805091849
FBgn0027866,2785.8774762161524,-0.02586121704805882,0.8076517380586653,0.9397514869696171
FBgn0037236,5326.923036742602,0.1694035123683072,0.11273209948487174,0.8625172805091849
FBgn0037235,6435.3547429594355,-0.1615999595771922,0.2734114207134434,0.8625172805091849
FBgn0261434,10369.144306306776,-0.9723693317309489,0.5100946151242824,0.8676867905448156
FBgn0037238,33.857034367424475,-0.28926586726276576,0.8585511088239377,0.9565920125850736
FBgn0037239,855.7752584112922,0.6145491735340896,0.03795085161277587,0.8625172805091849
FBgn0037240,1859.255776193001,-0.11131703994405065,0.42259374846414177,0.8625172805091849
FBgn0003882,7994.126868280554,0.25950304766107574,0.1499789515854178,0.8625172805091849
FBgn0037241,2379.9154988726627,-0.14070735750213317,0.4227699142562518,0.8625172805091849
FBgn0037242,76.91310412976785,-0.03468123048592595,0.9202410026346375,0.9742543705487234
FBgn0086605,3738.206031128975,0.07592637897225818,0.2296183453736521,0.8625172805091849
FBgn0037244,1821.848584492399,0.08946443719752026,0.2367209448103134,0.8625172805091849
FBgn0266697,11.500686030040614,-0.470042387945584,0.5310118223597867,0.8676867905448156
FBgn0263594,48647.07073925624,0.19485767907423215,0.23900078035433744,0.8625172805091849
FBgn0052944,40.871258250995396,-0.1127501346666674,0.8310691020510675,0.944968418403663
FBgn0051528,4.578935189858632,-1.0991328677542203,0.24102858708116295,0.8625172805091849
FBgn0037248,4864.454025100077,0.014045363062627637,0.930534403978261,0.9778104869234027
FBgn0051525,4.985531810326257,0.007099563751322176,0.9942815469174839,0.9971921128282691
FBgn0037249,1748.3484745393287,-0.07739325844515646,0.5946401256496308,0.8813757265200983
FBgn0037250,63.96130526147664,-0.2866587146155162,0.22525814703624567,0.8625172805091849
FBgn0037251,11.659448610299533,-0.05260932288571347,0.8625869461602238,0.9579022875475985
FBgn0037252,272.34204317064814,-0.012778537472093019,0.9782983926561375,0.9936093328649283
FBgn0051522,430.9011223953789,-0.1674207819150698,0.5856141253926384,0.8798881599185399
FBgn0263620,13.491089291814069,-2.872620525750228,0.03440576955995183,0.8625172805091849
FBgn0051523,5346.4681364509715,0.11883942547798013,0.5001933192309627,0.8672046341553873
FBgn0037254,5.018159801067289,-1.3183197515692013,0.36086741640021924,0.8625172805091849
FBgn0037255,2195.8428399768277,-0.3072339912043198,0.12946796252210188,0.8625172805091849
FBgn0085386,7.0655280106584515,-1.384786640391579,0.34907726149007834,0.8625172805091849
FBgn0052945,3.466397863449329,0.9840088043445298,0.3765766886035377,0.8625172805091849
FBgn0265376,11.356782214498471,-0.8695390658159353,0.4189908082425007,0.8625172805091849
FBgn0087012,44.3115626310574,-0.834231487342283,0.532458080747248,0.8677822005934338
FBgn0267233,13.608480588183546,0.051095774079233096,0.9764409081131915,0.993444412065719
FBgn0037261,8185.5272989411205,-0.4215456070313523,0.7347083974591029,0.9152250080870656
FBgn0037262,3597.0863301505906,-0.06190057739779287,0.4530764655297427,0.864233999771503
FBgn0037263,838.340560055579,-0.090534395323414,0.3174781565550722,0.8625172805091849
FBgn0040466,3875.2937699001836,0.1472976205179405,0.10312099861226902,0.8625172805091849
FBgn0022981,3446.3763624190537,0.13155146768742687,0.6803818648134141,0.8996426691330298
FBgn0265038,101.95913016357643,-0.2389766915529599,0.1876654777848457,0.8625172805091849
