,baseMean,log2FoldChange,pvalue,padj
FBgn0261086,8.01408850566875,-2.0911961432342556,0.038178833718965674,0.8625172805091849
FBgn0263620,13.491089291814069,-2.872620525750228,0.03440576955995183,0.8625172805091849
FBgn0265082,120.88384188186525,-2.4385219430356933,0.09399531744304046,0.8625172805091849
FBgn0037294,4.3224514664700395,-2.7651803861435083,0.13461961655514876,0.8625172805091849
FBgn0260766,27.948849973708345,-2.491767815968945,0.04904758239985243,0.8625172805091849
FBgn0015575,10.29766364061319,-3.081872247726849,0.07049164329385865,0.8625172805091849
FBgn0037565,8.46829365553451,-3.035579832765016,0.008437776120076743,0.8625172805091849
FBgn0037666,6.919504927049984,-3.891322924970276,0.3739009663000589,0.8625172805091849
FBgn0286030,8.279179858906568,-2.3692657195968865,0.29340579084092355,0.8625172805091849
FBgn0037683,5.25315694858351,-2.7645287450554394,0.19337478248077866,0.8625172805091849
FBgn0037685,41.86875948166364,-2.1543529025610346,0.02676222398765343,0.8625172805091849
FBgn0037772,6.787332779037815,-3.3798726279068365,0.0038356041194173053,0.8011589854252893
FBgn0004595,54.18898700580042,-2.1160107716928893,0.20308537314851544,0.8625172805091849
FBgn0037908,18.225371376301748,-2.1760187275200895,0.2478021292968109,0.8625172805091849
FBgn0037934,8.790850546378213,-2.8852501936492865,0.010955786060358016,0.8625172805091849
FBgn0037962,3.8545424862572646,-2.242947026090627,0.2919060866182415,0.8625172805091849
FBgn0038018,3.6791541797501535,-2.159387965541656,0.1504744044629689,0.8625172805091849
FBgn0038113,11.484183687564526,-2.7000340798864046,0.16931599574466555,0.8625172805091849
FBgn0038130,17.507084873618933,-3.780474278567498,0.38134482927646013,0.8625172805091849
FBgn0038153,3.309218499210157,-2.4328985943839188,0.11292555673763957,0.8625172805091849
FBgn0038172,8.338423030034173,-2.320586934185704,0.016475448864151258,0.8625172805091849
FBgn0038261,5.114989284163579,-3.489283269340246,0.03463033811521177,0.8625172805091849
FBgn0038342,27.321957061814548,-2.059316734797008,0.007305869642334031,0.8625172805091849
FBgn0262028,9.922194000531022,-3.027241177215115,0.3968910325458824,0.8625172805091849
FBgn0038391,17.6842586142694,-5.1846182021315,0.1983667120309243,0.8625172805091849
FBgn0003117,111.54575998650354,2.4811886167105053,0.27115378243318927,0.8625172805091849
FBgn0038394,12.408094335046895,2.0188084345002593,0.18082207157868851,0.8625172805091849
FBgn0038412,5.62576558886597,-2.021929331580398,0.05607842340126086,0.8625172805091849
FBgn0038414,4.845972252343583,-2.242219604418153,0.17420462598277395,0.8625172805091849
FBgn0038494,4.5068227874073115,3.323895393258075,0.373900966300059,0.8625172805091849
FBgn0038529,4.3514249514120165,-3.2784085552167888,0.32350288829257645,0.8625172805091849
FBgn0267702,5.837753971007924,-3.1728899517790174,0.1624470726872355,0.8625172805091849
FBgn0000477,167.08030190214888,-4.620302881412057,0.2950601331698663,0.8625172805091849
FBgn0038595,5.143991595200229,-2.3509659706642263,0.12612359117010263,0.8625172805091849
FBgn0038612,10.023650449592836,3.0776145722563975,0.13020550098566241,0.8625172805091849
FBgn0004652,10.743742562701103,-2.309795933900779,0.19846937209819138,0.8625172805091849
FBgn0038629,4.120861647969907,-3.208161894789934,0.1644159716457931,0.8625172805091849
FBgn0038676,5.5204054756670695,-2.7265308540032667,0.15669264074489406,0.8625172805091849
FBgn0038718,5.107253636632131,-3.4872943296642736,0.3739009663000589,0.8625172805091849
FBgn0038752,7.120935679483947,-2.408890799443957,0.20666851012654286,0.8625172805091849
FBgn0038753,15.80590403297605,-2.2857579824064573,0.0852461710263527,0.8625172805091849
FBgn0263400,6.132704100057331,-2.874609809593143,0.17522394751538245,0.8625172805091849
FBgn0038865,4.300439223925171,-3.2631664135814282,0.13510785119676078,0.8625172805091849
FBgn0260004,8.101755753724044,-4.1046311666355235,0.16293505962099797,0.8625172805091849
FBgn0267723,8.61441544383,-2.050379191778651,0.12226006662681639,0.8625172805091849
FBgn0054034,6.608155297315669,2.2471447685837314,0.29359482297736644,0.8625172805091849
FBgn0051343,5.272003753942845,-3.5290722381161803,0.3739009663000589,0.8625172805091849
FBgn0051431,248.1453800441982,-3.0330569754211516,0.1552923851651358,0.8625172805091849
FBgn0038958,14.200709475589102,-4.16586255416771,0.36024963514580194,0.8625172805091849
FBgn0039024,12.90394359901439,-2.385563291474698,0.23925347791915708,0.8625172805091849
FBgn0017590,6.321840538398213,-2.1234432552085196,0.24829024947825643,0.8625172805091849
FBgn0039058,3.4682427011916737,-2.988500264912761,0.27561196087683565,0.8625172805091849
FBgn0011596,10.623227575364677,-4.475503563824984,0.035519181461333676,0.8625172805091849
FBgn0039070,4.29814085847367,-2.835393790106386,0.1421337774730879,0.8625172805091849
FBgn0039081,9.552071202377649,-4.329420890374291,0.3739009663000589,0.8625172805091849
FBgn0085384,27.127870875969663,2.403881497813001,0.21237111053610122,0.8625172805091849
FBgn0039131,9.86635114904997,-2.994188788568324,0.15858080323708754,0.8625172805091849
FBgn0039178,3.446089479697827,-2.5431782436089296,0.3944910129592327,0.8625172805091849
FBgn0085319,4.181311624656273,-2.0284374540152412,0.19068336110381195,0.8625172805091849
FBgn0039184,3.9282649246058257,-2.7157366435689014,0.21351005304132392,0.8625172805091849
FBgn0039283,31.42684054129023,-2.0033888013196415,0.17133046843555666,0.8625172805091849
FBgn0039310,9.596386025875898,-2.5645496397990515,0.37932469057527923,0.8625172805091849
FBgn0039332,3.457621597579555,-2.984633677723157,0.27743607786316193,0.8625172805091849
FBgn0039415,15.41974389425008,-4.992745221882786,0.373900966300059,0.8625172805091849
