,log2FoldChange
FBgn0013810,1.391106597178275
FBgn0036949,1.3881150017910555
FBgn0052354,1.3847454836874236
FBgn0035343,1.3806131835992148
FBgn0267559,1.3733345080972854
FBgn0039203,1.3580075502658475
FBgn0035956,1.357626366607394
FBgn0014343,1.3528935873336396
FBgn0040859,1.334195285534839
FBgn0086681,1.3319237502689854
FBgn0035168,1.3187367624554367
FBgn0030041,1.3187045797987065
FBgn0032473,1.3180296049268498
FBgn0030667,1.3031812070341149
FBgn0002931,1.2995704406551785
FBgn0043022,1.2927141228442416
FBgn0035975,1.2807827737278359
FBgn0032252,1.277604063508742
FBgn0001983,1.2764448860079876
FBgn0023178,1.276336729862283
FBgn0265945,1.2755038383357942
FBgn0029663,1.2720415578766355
FBgn0039681,1.260197694426276
FBgn0267991,1.256773998025857
FBgn0267956,1.2552752540176217
FBgn0004186,1.2459818853711777
FBgn0285963,1.2434824727863543
FBgn0263027,1.2427270174684746
FBgn0045980,1.2404110974243714
FBgn0033942,1.2396076204717859
FBgn0053126,1.239502824942249
FBgn0004183,1.2394832521600163
FBgn0039277,1.2394010022809123
FBgn0015801,1.22219804056426
FBgn0036781,1.2201161659152282
FBgn0016053,1.2118491415414312
FBgn0266432,1.194465498973186
FBgn0033770,1.1890849039801872
FBgn0038873,1.1883921016635934
FBgn0086758,1.180783059270956
FBgn0000439,1.1803799004787459
FBgn0036116,1.1751406680481271
FBgn0051281,1.1638417829603027
FBgn0038126,1.1602367164648648
FBgn0037229,1.160026602493688
FBgn0031734,1.1571214869037
FBgn0266681,1.1560965211803302
FBgn0267863,1.1530714257939774
FBgn0038460,1.1495955267041489
FBgn0264957,1.144565174329649
FBgn0030340,1.1423458317696435
FBgn0031824,1.1271237358906638
FBgn0044046,1.1218607589040228
FBgn0020907,1.116408817160559
FBgn0029644,1.116264822328811
FBgn0262599,1.1139511853833597
FBgn0010549,1.1082974012978803
FBgn0267177,1.0967514633410662
FBgn0267279,1.0944838433144952
FBgn0052036,1.0834716670151727
FBgn0039594,1.0810294164262406
FBgn0040507,1.0796283942396219
FBgn0065047,1.073148437188401
FBgn0266279,1.0729585375743251
FBgn0265944,1.0670832429079382
FBgn0035231,1.0623748301746057
FBgn0030794,1.0599144541774068
FBgn0030897,1.059036773542394
FBgn0036769,1.0588624333736645
FBgn0034070,1.0584714595080742
FBgn0052650,1.0578774803322282
FBgn0263746,1.0572006695820104
FBgn0066365,1.0566718928340668
FBgn0261547,1.0454821340172928
FBgn0013704,1.0439836986480515
FBgn0031214,1.043952864414178
FBgn0001992,1.0414252228235636
FBgn0052437,1.035962460987376
FBgn0003016,1.0341210891015022
FBgn0003145,1.0337193837580112
FBgn0035311,1.027422519722777
FBgn0039321,1.0231871783059725
FBgn0260430,1.0231624394050038
FBgn0027109,1.003470601624516
FBgn0037534,1.0023147082528017
FBgn0052572,1.0012239701665526
FBgn0010258,1.000986763933205
FBgn0010414,0.9978584783432604
FBgn0039288,0.9959243116256425
FBgn0259150,0.9951734615593064
FBgn0033574,0.9950085887634795
FBgn0053218,0.992369823411671
FBgn0000075,0.9895168972916729
FBgn0052436,0.9854040706878718
FBgn0003935,0.9850503506966448
FBgn0052945,0.9840088043445298
FBgn0035293,0.982993018597935
FBgn0034498,0.9782376608134686
FBgn0034475,0.9781072758080789
FBgn0027580,0.9772402238822122
FBgn0266399,0.9740519670922368
FBgn0035777,0.9723317910269936
FBgn0034427,0.9715686659309231
FBgn0267586,0.9641280283235282
FBgn0266225,0.9634261609978665
FBgn0262021,0.9632519720375555
FBgn0038262,0.9578902725794995
FBgn0052221,0.9574706598824593
FBgn0036221,0.9540665571473629
FBgn0033020,0.9533690290584707
FBgn0063649,0.9444043436020837
FBgn0267978,0.9420810609219546
FBgn0034966,0.9403210148028688
FBgn0264606,0.9378147567570249
FBgn0010038,0.9375510560656349
FBgn0033437,0.9351220107577135
FBgn0265313,0.9334340127805171
FBgn0040906,0.9333633290224104
FBgn0037223,0.9317746996755902
FBgn0053325,0.9311969231182052
FBgn0052333,0.9277924933916966
FBgn0051115,0.9263211663984878
FBgn0267923,0.9256075973045977
FBgn0033368,0.9245470208863792
FBgn0263741,0.9226866949680076
FBgn0052677,0.9216346922822555
FBgn0000015,0.9207546312145942
FBgn0000303,0.9186923243055298
FBgn0031835,0.9183804866031464
FBgn0052320,0.9183290915065644
FBgn0035359,0.9172047837108738
FBgn0001253,0.9134488294308496
FBgn0052690,0.9112667732699894
FBgn0265308,0.9102744859160466
FBgn0037819,0.9091530067365327
FBgn0000014,0.9077062193145524
FBgn0035976,0.9058455329791694
FBgn0260005,0.9048561932298406
FBgn0259171,0.9041642061860049
FBgn0266281,0.9003398947289215
FBgn0260866,0.8998758414168656
FBgn0026315,0.8989229971552671
FBgn0262683,0.8938692230469703
FBgn0038302,0.8932483651757891
FBgn0029949,0.8902894630198792
FBgn0039039,0.8860139927304526
FBgn0030459,0.8839456623654112
FBgn0038761,0.8803118735007378
FBgn0016036,0.8789926901917742
FBgn0035475,0.8787961975382065
FBgn0038816,0.877760988660575
FBgn0028525,0.8759854277337934
FBgn0043364,0.8736625421320671
FBgn0033271,0.8727049689490513
FBgn0033860,0.870256738137988
FBgn0035648,0.8630477763133503
FBgn0065099,0.8616337321228849
FBgn0011822,0.861028727816455
FBgn0030074,0.8604252298058822
FBgn0031811,0.8587544092040489
FBgn0035926,0.8582291370178702
FBgn0267623,0.8575211231655806
FBgn0051075,0.8570573255725713
FBgn0003944,0.851013732144633
FBgn0086027,0.8502312099692969
FBgn0063382,0.8473439673119579
FBgn0020018,0.846369156852346
FBgn0017482,0.8417487949019091
FBgn0036985,0.8414440760231935
FBgn0264490,0.8395806137591157
FBgn0053003,0.8381149660259022
FBgn0085374,0.8376907073536677
FBgn0000247,0.8361476870258294
FBgn0040371,0.83320965973289
FBgn0030961,0.8328817846606665
FBgn0013697,0.8316141874840769
FBgn0261244,0.8279636727487855
FBgn0033730,0.8240318530138984
FBgn0262903,0.8239942599751768
FBgn0038143,0.8229871958947973
FBgn0029838,0.8183692149099538
FBgn0039686,0.8158240272063386
FBgn0031585,0.8148975075337729
FBgn0041336,0.8112380481863668
FBgn0260642,0.8096028329767353
FBgn0259151,0.8075776158883079
FBgn0034733,0.805761535494402
FBgn0262366,0.8044958901602565
FBgn0051719,0.8032635080444746
FBgn0283461,0.8030864631011883
FBgn0035691,0.8025427350704348
FBgn0014179,0.8009032653852508
FBgn0051361,0.7999765986947849
FBgn0010497,0.7995858397035587
FBgn0032810,0.7988964179372556
FBgn0020908,0.7987121026140552
FBgn0039124,0.7939049546664414
FBgn0085245,0.7912664049182
FBgn0039927,0.7906091299312419
FBgn0266436,0.7895878490887641
FBgn0259737,0.7881450394146233
FBgn0265338,0.7830339135098031
FBgn0286204,0.7823838353897429
FBgn0034021,0.7818966668768662
FBgn0039809,0.7817359558415587
FBgn0004187,0.778037943810541
FBgn0038258,0.7774135082076343
FBgn0026060,0.7765885186805008
FBgn0266405,0.7752833300493388
FBgn0051103,0.7743877713795635
FBgn0030583,0.7714699795750556
FBgn0264503,0.7701314358745543
FBgn0003916,0.7692734337539849
FBgn0003655,0.7668890830866314
FBgn0267081,0.7651606825647693
FBgn0023520,0.7649309214266585
FBgn0000018,0.7631365995083714
FBgn0035625,0.7573121505369192
FBgn0031725,0.7562840386518636
FBgn0264942,0.7517709194426287
FBgn0031724,0.7503716858311232
FBgn0034703,0.7501442808089226
FBgn0053306,0.7500873450227724
FBgn0051619,0.7498322372435676
FBgn0025387,0.7450067334277635
FBgn0004360,0.739777462790044
FBgn0035641,0.7395245304188683
FBgn0261638,0.7379394405784218
FBgn0063498,0.7371222479978986
FBgn0030296,0.7354495377804352
FBgn0034978,0.7343247306143655
FBgn0052601,0.7334811063552911
FBgn0034928,0.7331390349862843
FBgn0029813,0.7310734355616972
FBgn0001320,0.7295010128372365
FBgn0036485,0.7273014044844944
FBgn0003380,0.7268109921616975
FBgn0031900,0.7246900713677742
FBgn0053986,0.7245721839748137
FBgn0265161,0.7237051867657206
FBgn0040609,0.7236181886801051
FBgn0283440,0.7232773903777173
FBgn0034405,0.7227474909321162
FBgn0035823,0.7220125045749767
FBgn0037116,0.7216332715384339
FBgn0002673,0.7211604141746009
FBgn0035988,0.7203838482254871
FBgn0027600,0.7199443749430287
FBgn0030008,0.719292607179295
FBgn0036316,0.7179975970559532
FBgn0259992,0.7147600182704175
FBgn0263617,0.7121517457196732
FBgn0015550,0.7115325249479443
FBgn0037615,0.7108964354447868
FBgn0032891,0.7104606251129845
FBgn0039006,0.708913412992111
FBgn0000274,0.707504944022452
FBgn0034720,0.7073388885986508
FBgn0027070,0.7067542115253809
FBgn0267744,0.7061136781396466
FBgn0028567,0.705300670699556
FBgn0032775,0.7039528449533963
FBgn0039486,0.6998180899795718
FBgn0026176,0.6990393427054592
FBgn0031732,0.6989128940616394
FBgn0250904,0.6930638314356922
FBgn0029849,0.6892031757149979
FBgn0263379,0.6869744624745173
FBgn0033484,0.6863143026384924
FBgn0033214,0.686170969331848
FBgn0038316,0.6841064097649189
FBgn0001078,0.6796887483017355
FBgn0264815,0.6796028032216367
FBgn0027843,0.6791403035365381
FBgn0036824,0.6780918234791582
FBgn0000121,0.6778077582209171
FBgn0030309,0.6775265359762902
FBgn0029831,0.674422637500055
FBgn0027342,0.6698529517193207
FBgn0022382,0.6694421169903728
FBgn0038705,0.6687426889181722
FBgn0014395,0.6668166191364452
FBgn0051601,0.6644715870773686
FBgn0036576,0.6641330438389379
FBgn0002715,0.6633599527289684
FBgn0038832,0.6627095632661847
FBgn0037730,0.6597344466129649
FBgn0261723,0.6594985623825328
FBgn0028550,0.6528857227945463
FBgn0031251,0.6524748828008446
FBgn0030791,0.6516356051199478
FBgn0003931,0.6513896287124853
FBgn0000576,0.6506335060782732
FBgn0036205,0.6470434376063576
FBgn0003429,0.6461828224069328
FBgn0262964,0.6456503714918377
FBgn0033448,0.6438391040549292
FBgn0040009,0.6428710640814864
FBgn0042126,0.6412815744286605
FBgn0027586,0.6378075426894769
FBgn0030170,0.6363769412274631
FBgn0024994,0.6326300608006105
FBgn0003475,0.6323358410312288
FBgn0039316,0.6316114749407182
FBgn0037602,0.6301518091264459
FBgn0261698,0.6298233158666895
FBgn0039937,0.6277214048832926
FBgn0004367,0.6244605924799178
FBgn0034105,0.6231342783664224
FBgn0050438,0.6224495907328604
FBgn0039709,0.620531612716839
FBgn0031837,0.6198199662628061
FBgn0038804,0.6185436805289947
FBgn0000032,0.6174420094437553
FBgn0051221,0.6174340083988828
FBgn0034688,0.6170086366845933
FBgn0026197,0.616244717651637
FBgn0037304,0.6157716908676396
FBgn0264505,0.6154439349740481
FBgn0023458,0.6146495747622025
FBgn0037239,0.6145491735340896
FBgn0053260,0.6104352731758149
FBgn0015776,0.6102685948690438
FBgn0036493,0.6077863879174753
FBgn0053642,0.6075128418121845
FBgn0033787,0.6059435206990738
FBgn0005390,0.6052476190046184
FBgn0036942,0.6043146295344788
FBgn0085732,0.6037648636807892
FBgn0267967,0.6035292929973578
FBgn0010043,0.6033232519357551
FBgn0267429,0.6031579069399804
FBgn0260388,0.6019209785556944
FBgn0267104,0.601256304375449
FBgn0030799,0.6012515360103532
FBgn0262103,0.5993988079815868
FBgn0261584,0.5984408773399209
FBgn0039972,0.596120638175664
FBgn0261053,0.5959148686645905
FBgn0086558,0.5934056401848347
FBgn0013773,0.5933669075296456
FBgn0261797,0.5932678488208192
FBgn0038344,0.5914146145936975
FBgn0051313,0.5905600490530553
FBgn0010431,0.5899452388002207
FBgn0004047,0.5895883627167808
FBgn0038721,0.5887170332450852
FBgn0029858,0.585254053922109
FBgn0266084,0.5833702278037749
FBgn0063492,0.5833307007965779
FBgn0036995,0.5830779561728462
FBgn0263873,0.5821290619646305
FBgn0041182,0.5817802160295797
FBgn0034705,0.5808906790688464
FBgn0014931,0.5801686807255216
FBgn0010406,0.5800851156535498
FBgn0051004,0.5793940131009642
FBgn0000536,0.5788141690514799
FBgn0011705,0.5772655760070887
FBgn0030396,0.5766200867985914
FBgn0015663,0.5753261605352749
FBgn0262740,0.5744087544440482
FBgn0033713,0.5726981631951575
FBgn0031378,0.5685949148330907
FBgn0023537,0.5685380726453364
FBgn0035346,0.5671883882703622
FBgn0050005,0.5659258688064301
FBgn0001208,0.5651374171707153
FBgn0266111,0.5640818718788375
FBgn0039272,0.5622487370996787
FBgn0038686,0.561920509525315
FBgn0030452,0.5604570375378445
FBgn0261799,0.5601826131265114
FBgn0039704,0.5600751788273084
FBgn0082998,0.5594195394261036
FBgn0030357,0.5568146436996272
FBgn0029676,0.5566363730990015
FBgn0024833,0.5562033103158064
FBgn0033067,0.5554032714882812
FBgn0032734,0.5538879083665242
FBgn0053129,0.5535564758961696
FBgn0264508,0.5522106253269503
FBgn0022740,0.5511919738911935
FBgn0266237,0.5507727946050303
FBgn0034861,0.5506799172210397
FBgn0010039,0.5505946389121484
FBgn0030240,0.5494745585922567
FBgn0037518,0.5490553464687388
FBgn0038744,0.5486947360190341
FBgn0000615,0.5480608814977217
FBgn0026404,0.5479803603574551
FBgn0058354,0.5479719085729187
FBgn0286876,0.5478221602787491
FBgn0265699,0.5475869288222516
FBgn0036837,0.5472270173527627
FBgn0052512,0.5471717482513748
FBgn0052645,0.5466281089807826
FBgn0035965,0.5443526146819027
FBgn0052649,0.5438936758642812
FBgn0039304,0.5422697728749968
FBgn0262562,0.5414320700696044
FBgn0032218,0.5410275592940351
FBgn0030082,0.5405717145458133
FBgn0262563,0.5405424973499363
FBgn0011204,0.5404860923940482
FBgn0032483,0.5373449912854076
FBgn0015522,0.5357716070063925
FBgn0035207,0.5351888955579294
FBgn0266347,0.5340948747792463
FBgn0034397,0.5336577461298796
FBgn0042185,0.533044819018231
FBgn0033475,0.5305110129977647
